"id","name","short_name","code","status","created_at","updated_at","service_url","agent_app_url","dark_background_logo_url","light_background_logo_url","logomark_url","egate_reentry_window_minutes","reentry_window_minutes","reentry_window_type","reports_deduping_window_minutes","partner_company_group_id","place_policy"
1,"Linear Airlines","Linear","LN","DELETED","2025-05-28 20:42:31.65","2025-05-28 20:42:55.356",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
2,"Linear Airlines","Linear","LN","DELETED","2025-05-28 20:44:16.894","2025-05-28 20:45:07.118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
3,"Air","AIR","AI","DELETED","2025-05-29 12:04:31.006","2025-05-29 17:08:16.377",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
4,"fff","fff","FF","DELETED","2025-05-29 20:22:47.11","2025-05-29 20:58:04.766",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
5,"TAU","TAU","LI","DELETED","2025-05-29 21:24:09.764","2025-05-29 21:36:12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
6,"LUZ","LUZ","LU","DELETED","2025-05-29 21:24:28.366","2025-05-29 21:36:19.703",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
7,"ANA","ANA","AN","DELETED","2025-05-29 21:49:16.477","2025-06-03 13:06:20.763",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
8,"LUA","luz","LU","DELETED","2025-05-29 21:59:28.091","2025-06-03 13:06:23.201",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
9,"luz","lox","LU","DELETED","2025-05-29 21:59:49.558","2025-06-03 13:06:25.977",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
10,"United Airlines","United Airlines","UA","ACTIVE","2025-06-03 12:51:11.976","2026-01-30 19:08:36.891","http://sulm-backend-united-airlines-qa.sulm.svc.cluster.local:4007","https://ua.qa.app.caelusiq.com","/assets/images/UNITED-SYMBOL-COLOR.svg","/assets/images/UNITED-LOGO-COLOR.svg","/assets/images/United - Logo.png",30,NULL,"SAME_DAY",5,NULL,"AIRPORT"
11,"Aegean Airlines S.A.","Aegean Airlines","A3","ACTIVE","2025-06-03 12:55:03.989","2025-09-02 14:14:09.841",NULL,NULL,"/assets/images/united_dark_bg.png","/assets/images/united_light_bg.png","/assets/images/united_logomark.png",NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
12,"Turkish Airlines","Turkish Airlines","TK","ACTIVE","2025-06-03 12:58:24.104","2025-09-02 14:18:07.001",NULL,NULL,"/assets/images/tap_dark_bg.png","/assets/images/tap_light_bg.png","/assets/images/tap_logomark.png",NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
13,"Thai Airways International plc","Thai Airways","TG","ACTIVE","2025-06-03 12:58:56.11","2025-09-29 17:16:24.468",NULL,NULL,"","/assets/images/sso-config2.png","",NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
14,"TAP Air Portugal ","TAP","TP","ACTIVE","2025-06-03 12:59:26.782","2025-09-02 14:14:27.287",NULL,NULL,"/assets/images/tap_dark_bg.png","/assets/images/tap_light_bg.png","/assets/images/tap_logomark.png",NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
15,"Swiss International Air Lines AG","Swiss Air Lines","LX","ACTIVE","2025-06-03 13:00:04.92","2025-06-05 19:29:02.479",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
16,"South African Airways (SAA)","South African Airways","SA","ACTIVE","2025-06-03 13:00:46.153","2025-06-03 13:00:46.153",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
17,"Singapore Airlines","Singapore Airlines","SQ","ACTIVE","2025-06-03 13:01:17.719","2025-06-05 19:29:29.121",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
18,"Shenzhen Airlines","Shenzhen Airlines","ZH","ACTIVE","2025-06-03 13:01:32.498","2025-06-05 19:29:45.391",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
19,"Deutsche Lufthansa AG","Lufthansa","LH","DELETED","2025-06-03 13:02:00.857","2025-06-12 16:44:15.925",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
20,"LOT Polish Airlines","LOT Airlines","LO","DELETED","2025-06-03 13:02:18.601","2025-06-12 16:44:38.079",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
21,"EVA Airways Corporation","EVA Airways","BR","DELETED","2025-06-03 13:02:32.721","2025-06-12 16:46:33.186",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
22,"Ethiopian Airlines","Ethiopian Airlines","ET","DELETED","2025-06-03 13:02:53.467","2025-06-12 16:46:55.065",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
23,"Egyptair","Egyptair","MS","DELETED","2025-06-03 13:03:04.083","2025-06-12 16:47:12.739",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
24,"Croatia Airlines Ltd","Croatia Airlines","OU","DELETED","2025-06-03 13:03:17.59","2025-06-12 16:47:18.512",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
25,"Compañía Panameña de Aviación, S.A.","Copa Airlines","CM","DELETED","2025-06-03 13:03:48.037","2025-06-12 16:47:45.904",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
26,"Brussels Airlines","Brussels Airlines","SN","DELETED","2025-06-03 13:04:01.351","2025-06-12 16:48:16.933",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
27,"Avianca S.A.","Avianca","AV","DELETED","2025-06-03 13:04:13.12","2025-06-12 17:59:17.871",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
28,"Austrian Airlines AG","Austrian Airlines","OS","DELETED","2025-06-03 13:04:25.918","2025-06-12 19:49:00.874",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
29,"Asiana Airlines Inc.","Asiana Airlines","OZ","DELETED","2025-06-03 13:04:53.27","2025-06-12 19:56:36.499",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
30,"All Nippon Airways Co., Ltd.","ANA","NH","DELETED","2025-06-03 13:05:07.357","2025-06-12 20:06:45.389",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
31,"Air New Zealand Limited","Air New Zealand","NZ","DELETED","2025-06-03 13:05:25.18","2025-06-12 20:07:53.854",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
32,"Air India","Air India","AI","DELETED","2025-06-03 13:05:36.354","2025-06-13 00:37:21.978",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
33,"Air China Limited","Air China","CA","DELETED","2025-06-03 13:05:54.807","2025-06-13 10:08:34.682",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
34,"Air Canada","Air Canada","AC","DELETED","2025-06-03 13:06:13.435","2025-06-16 20:06:38.034",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
35,"Tues Airlines","TUes","TU","DELETED","2025-06-06 14:13:29.555","2025-06-16 22:28:39.104",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
36,"Diego Airlines and private jets","Diego's","DD","DELETED","2025-06-09 12:32:33.294","2025-06-09 12:33:25.076",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
